%============================================================================= 
%NGDCS Check V10: Message 3501 Navigation Solution of ang20170616t200614_gps 
%* If present "Date" and "Abs Time" are derived and not original Msg3501 data 
%============================================================================= 
%Msg3501#, StartByte, Flag, Time, Date, Abs Time, Lat, Lon, Alt, VelN, VelE, VelUp, Pitch, Roll, HeadTrue, DataCheckSum 
115, 62083, 32768, 504424.400417, 2017-Jun-16, 20:07:04.400, 35.157342, -119.067750, 3201.536377, 37.165758, -78.220266, -0.184116, 1.218367, 1.289536, -64.993082, 11462 
116, 62579, 32768, 504424.500417, 2017-Jun-16, 20:07:04.500, 35.157376, -119.067836, 3201.518204, 37.189735, -78.190041, -0.178658, 1.216717, 1.233688, -65.012718, 48056 
117, 63076, 32768, 504424.600417, 2017-Jun-16, 20:07:04.600, 35.157409, -119.067922, 3201.500519, 37.211775, -78.160784, -0.174809, 1.216322, 1.173385, -65.036951, 56032 
118, 63572, 32768, 504424.700417, 2017-Jun-16, 20:07:04.700, 35.157443, -119.068007, 3201.483261, 37.229181, -78.133398, -0.172598, 1.215930, 1.109232, -65.064463, 35006 
119, 64068, 32768, 504424.800417, 2017-Jun-16, 20:07:04.800, 35.157476, -119.068093, 3201.466187, 37.246382, -78.104132, -0.171427, 1.214586, 1.043157, -65.094085, 6564 
120, 64564, 32768, 504424.900417, 2017-Jun-16, 20:07:04.900, 35.157510, -119.068179, 3201.449295, 37.260565, -78.078945, -0.168806, 1.211837, 0.977129, -65.124151, 11447 
121, 65270, 32768, 504425.000417, 2017-Jun-16, 20:07:05.000, 35.157543, -119.068264, 3201.483261, 37.273088, -78.053879, -0.169009, 1.209823, 0.909834, -65.153279, 17822 
122, 65767, 32768, 504425.100417, 2017-Jun-16, 20:07:05.100, 35.157576, -119.068351, 3201.466904, 37.279758, -78.029903, -0.164502, 1.208890, 0.840907, -65.180286, 12833 
123, 66263, 32768, 504425.200417, 2017-Jun-16, 20:07:05.200, 35.157610, -119.068436, 3201.450333, 37.288816, -78.007944, -0.166642, 1.205370, 0.772808, -65.204185, 5549 
124, 67007, 32768, 504425.300417, 2017-Jun-16, 20:07:05.300, 35.157643, -119.068522, 3201.433472, 37.294949, -77.985409, -0.170765, 1.202544, 0.706300, -65.224268, 81 
125, 67504, 32768, 504425.400417, 2017-Jun-16, 20:07:05.400, 35.157677, -119.068608, 3201.416275, 37.300365, -77.965858, -0.174955, 1.198981, 0.642135, -65.239094, 51744 
126, 68001, 32768, 504425.500417, 2017-Jun-16, 20:07:05.500, 35.157711, -119.068693, 3201.398621, 37.305271, -77.944653, -0.179335, 1.197142, 0.583059, -65.250009, 39015 
127, 68497, 32768, 504425.600417, 2017-Jun-16, 20:07:05.600, 35.157744, -119.068778, 3201.380463, 37.308704, -77.925262, -0.185127, 1.193876, 0.524776, -65.256214, 53107 
128, 68994, 32768, 504425.700417, 2017-Jun-16, 20:07:05.700, 35.157778, -119.068864, 3201.361786, 37.309404, -77.906830, -0.189756, 1.191003, 0.468458, -65.256773, 42567 
129, 69490, 32768, 504425.800417, 2017-Jun-16, 20:07:05.800, 35.157812, -119.068950, 3201.342621, 37.314102, -77.887154, -0.194618, 1.186799, 0.415186, -65.254371, 31297 
130, 69986, 32768, 504425.900417, 2017-Jun-16, 20:07:05.900, 35.157845, -119.069035, 3201.322968, 37.313503, -77.869207, -0.197901, 1.181520, 0.368215, -65.248020, 53096 
131, 70692, 32768, 504426.000417, 2017-Jun-16, 20:07:06.000, 35.157879, -119.069120, 3201.282410, 37.315825, -77.850548, -0.204015, 1.173227, 0.327792, -65.238124, 55649 
132, 71191, 32768, 504426.100417, 2017-Jun-16, 20:07:06.100, 35.157911, -119.069207, 3201.260910, 37.295847, -77.838730, -0.219249, 1.164650, 0.292249, -65.224810, 41014 
133, 71688, 32768, 504426.200417, 2017-Jun-16, 20:07:06.200, 35.157945, -119.069292, -32450.960739, -692.932123, 557.448732, -59.266240, -64.811332, 66.795330, -133.320208, 54737 
134, 72432, 32768, 504426.300417, 2017-Jun-16, 20:07:06.300, 35.157979, -119.069378, 3201.214783, 37.295591, -77.804649, -0.242352, 1.144789, 0.238370, -65.188137, 58412 
135, 72928, 32768, 504426.400417, 2017-Jun-16, 20:07:06.400, 35.158012, -119.069463, 3201.190170, 37.294428, -77.787985, -0.252537, 1.138318, 0.220662, -65.166776, 43650 
136, 73424, 32768, 504426.500417, 2017-Jun-16, 20:07:06.500, 35.158046, -119.069548, 3201.164474, 37.296824, -77.769817, -0.261340, 1.130766, 0.208216, -65.144637, 21821 
137, 73920, 32768, 504426.600417, 2017-Jun-16, 20:07:06.600, 35.158079, -119.069633, 3201.137802, 37.297510, -77.752125, -0.273895, 1.123444, 0.202068, -65.122843, 4252 
